0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:10 +0900] "GET /BookRecommend/admin_notice.jsp HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:10 +0900] "GET /BookRecommend/css/common.css HTTP/1.1" 200 1997
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:10 +0900] "GET /BookRecommend/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:10 +0900] "GET /BookRecommend/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:10 +0900] "GET /BookRecommend/images/kakao-talk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:10 +0900] "GET /BookRecommend/css/admin_notice.css HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:16 +0900] "GET /BookRecommend/admin_notice.jsp HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:16 +0900] "GET /BookRecommend/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:58:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
